names,scores,logfoldchanges,group
Slc47a1,0.81061155,14.907435,ABC
Lypd2,0.50653666,10.499506,ABC
Cdh1,0.5055356,10.985685,ABC
Upk1b,0.45743784,10.300585,ABC
Prg4,0.4400617,12.87102,ABC
Slc26a7,0.43086997,10.242038,ABC
Dapl1,0.3201506,9.065615,ABC
Car13,0.3200459,8.55663,ABC
Six2,0.31625596,10.585079,ABC
Foxc2,0.29294407,9.06322,ABC
Tspan8,0.28670883,9.132525,ABC
Gm5860,0.27623186,9.58162,ABC
Vnn1,0.24709725,8.944726,ABC
Dnajc5b,0.24437119,9.064208,ABC
Mrap,0.24278992,8.125523,ABC
Hsf2bp,0.2337931,8.221015,ABC
Msln,0.22938366,8.083514,ABC
Cpb1,0.22416125,9.246193,ABC
Timp1,0.21962334,7.939427,ABC
Wisp2,0.19865602,8.235631,ABC
Itgbl1,0.19724149,7.796991,ABC
Card14,0.19654176,8.766525,ABC
Mpzl2,0.18861838,8.92628,ABC
Pdzk1ip1,0.1852726,7.742399,ABC
Prdm6,0.17626767,8.475831,ABC
Six1,0.16800593,8.93394,ABC
Slc9a2,0.16047399,7.4310646,ABC
Tnfrsf11b,0.13584723,7.3100963,ABC
Krt19,0.13097441,8.1880245,ABC
Trabd2b,0.12977484,7.1045423,ABC
Mfap5,0.12659669,7.6724505,ABC
Ptgdr,0.12400476,8.161295,ABC
Tspan11,0.11225849,7.1263275,ABC
Fat2,0.10899492,7.9295726,ABC
Efemp1,0.10809492,7.6143007,ABC
Slc26a2,0.09716727,6.267313,ABC
Slc35g1,0.09672592,6.4790883,ABC
Kcnk5,0.09045342,6.441996,ABC
Adamtsl3,0.08761706,6.47956,ABC
Mgp,0.080282256,9.792977,ABC
Tbx15,0.07981244,7.207885,ABC
Thbd,0.077227965,7.341671,ABC
Bmp5,0.06895761,6.815539,ABC
Bnc2,0.06627717,7.7260957,ABC
Thbs1,0.06530351,6.7663245,ABC
Wnt16,0.05977095,6.8608975,ABC
Arsi,0.059297346,7.180524,ABC
Shisa3,0.058483113,6.830678,ABC
Col12a1,0.0557948,6.631285,ABC
Sfrp4,0.05567521,5.9429913,ABC
Rspo3,0.05196547,6.3946033,ABC
Crabp2,0.051591445,7.990934,ABC
Mrc2,0.050625265,6.8282123,ABC
Ahnak2,0.047798485,6.166897,ABC
Prrx2,0.047173854,6.5402036,ABC
Tfcp2l1,0.046443406,6.455516,ABC
Thsd4,0.045380305,5.831825,ABC
Gstt3,0.04337022,6.061169,ABC
Podn,0.04283703,5.9468603,ABC
Gm26740,0.0425618,6.797475,ABC
Alpl,0.040290833,6.199944,ABC
Slc12a7,0.039840814,6.026989,ABC
Fbln1,0.038773514,6.535781,ABC
Fam26e,0.037415747,5.618836,ABC
Ogn,0.036533788,6.9786096,ABC
Anxa1,0.03536862,6.2944183,ABC
X2810433D01Rik,0.03516256,7.1203575,ABC
Cpz,0.034335583,7.389905,ABC
Perp,0.029256867,6.6706114,ABC
Sh3pxd2a,0.028536877,5.2151976,ABC
Crispld1,0.028164405,5.7397113,ABC
Islr,0.028093586,6.5417466,ABC
Tnfsf13os,0.028069587,6.505385,ABC
